straatname,beroep,beroepcategorie,sekseofgeslacht,geboortedatum,eeuw,land van nationaliteit,geboorteplaats,afbeelding,aantal,wiki
Abraham Hans,schrijver,schrijver,mannelijk,1882-02-12T01:00:00Z,negentiendeeeuw,Belgi�,Sint-Maria-Horebeke,Abraham Hans.png,5,https://nl.wikipedia.org/wiki/Abraham_Hans
Adriaen Brouwer,kunstschilder,beeldend kunstenaar,mannelijk,1605-01-01T01:00:00Z,zeventiendeeeuw,Zuidelijke Nederlanden,Oudenaarde,Adriaen Brouwer.png,7,https://nl.wikipedia.org/wiki/Adriaen_Brouwer
Albert Servaes,kunstschilder,beeldend kunstenaar,mannelijk,1883-04-04T01:00:00Z,negentiendeeeuw,Belgi�,Gent,,6,https://nl.wikipedia.org/wiki/Albert_Servaes
Albrecht Rodenbach,dichter,schrijver,mannelijk,1856-10-27T01:00:00Z,negentiendeeeuw,Belgi�,Roeselare,Albrecht Rodenbach.png,55,https://nl.wikipedia.org/wiki/Albrecht_Rodenbach
Alfred De Taeye,politicus,politicus,mannelijk,1905-06-21T00:09:21Z,twintigsteeeuw,Belgi�,,Alfred De Taeye.png,8,https://nl.wikipedia.org/wiki/Alfred_De_Taeye
Alfred Ost,kunstschilder,beeldend kunstenaar,mannelijk,1884-02-14T01:00:00Z,negentiendeeeuw,Belgi�,Zwijndrecht,Alfred Ost.png,4,https://nl.wikipedia.org/wiki/Alfred_Ost
Alice Nahon,dichter,schrijver,vrouwelijk,1896-08-16T01:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,alice nahon.png,11,https://nl.wikipedia.org/wiki/Alice_Nahon
Andreas Vesalius,anatoom,wetenschapper,mannelijk,1514-12-21T01:00:00Z,zestiendeeeuw,Habsburgse Nederlanden,Brussel,Andreas Vesalius.png,8,https://nl.wikipedia.org/wiki/Andreas_Vesalius
Anna Bijns,schrijver,schrijver,vrouwelijk,1493-02-23T01:00:00Z,vijftiendeeeuw,Zuidelijke Nederlanden,Antwerpen,Anna Bijns.png,6,https://nl.wikipedia.org/wiki/Anna_Bijns
Anne Frank,dagboekschrijver,schrijver,vrouwelijk,1929-06-12T01:00:00Z,twintigsteeeuw,Duitsland,Frankfurt am Main,Anne Frank.png,6,https://nl.wikipedia.org/wiki/Anne_Frank
Anthony van Dyck,kunstschilder,beeldend kunstenaar,mannelijk,1599-03-22T01:00:00Z,zestiendeeeuw,Zuidelijke Nederlanden,Antwerpen,Anthony van Dyck.png,27,https://nl.wikipedia.org/wiki/Antoon_van_Dyck
Armand Preud'homme,componist,muziek,mannelijk,1904-02-21T00:09:21Z,twintigsteeeuw,Belgi�,Peer,Armand Preud'homme.png,6,https://nl.wikipedia.org/wiki/Armand_Preud%27homme
August De Boeck,organist,muziek,mannelijk,1865-05-09T01:00:00Z,negentiendeeeuw,Belgi�,Merchtem,August De Boeck.png,7,https://nl.wikipedia.org/wiki/August_De_Boeck
August Vermeylen,schrijver,schrijver,mannelijk,1872-05-12T01:00:00Z,negentiendeeeuw,Belgi�,Brussel,August Vermeylen.png,29,https://nl.wikipedia.org/wiki/August_Vermeylen
Camille Huysmans,politicus,politicus,mannelijk,1871-05-26T01:00:00Z,negentiendeeeuw,Belgi�,Bilzen,Camille Huysmans.png,5,https://nl.wikipedia.org/wiki/Camille_Huysmans
Charles De Coster,schrijver,schrijver,mannelijk,1827-08-20T01:00:00Z,negentiendeeeuw,Belgi�,M�nchen,Charles De Coster.png,7,https://nl.wikipedia.org/wiki/Charles_De_Coster
Christine D'haen,dichter,schrijver,vrouwelijk,1923-10-25T00:00:00Z,twintigsteeeuw,Belgi�,Sint-Amandsberg,Christine Dhaen.png,3,https://nl.wikipedia.org/w/index.php?search=Christine+Dhaen&title=Speciaal:Zoeken&go=Artikel&searchToken=f164vifwk60nztnnk1h9opao
Constant Permeke,kunstschilder,beeldend kunstenaar,mannelijk,1886-07-31T01:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,Constant Permeke.png,23,https://nl.wikipedia.org/wiki/Constant_Permeke
Cyriel Buysse,schrijver,schrijver,mannelijk,1859-09-20T01:00:00Z,negentiendeeeuw,Belgi�,Nevele,Cyriel Buysse.png,16,https://nl.wikipedia.org/wiki/Cyriel_Buysse
Cyriel Verschaeve,dichter,schrijver,mannelijk,1874-04-30T01:00:00Z,negentiendeeeuw,Belgi�,Ardooie,Cyriel Verschaeve.png,6,https://nl.wikipedia.org/wiki/Cyriel_Verschaeve
David Teniers II,kunstschilder,beeldend kunstenaar,mannelijk,1610-12-15T01:00:00Z,zeventiendeeeuw,Zuidelijke Nederlanden,Antwerpen,David Teniers II.png,18,https://nl.wikipedia.org/wiki/David_Teniers_II
Leon De Bruyn,politicus,politicus,mannelijk,1838-10-07T01:00:00Z,negentiendeeeuw,Belgi�,Dendermonde,,5,https://nl.wikipedia.org/wiki/L%C3%A9on_De_Bruyn
Miguel de Pret,kunstschilder,beeldend kunstenaar,mannelijk,1595-01-01T01:00:00Z,zestiendeeeuw,,,Cyriel Verschaeve.png,6,https://commons.wikimedia.org/wiki/Category:Miguel_de_Pret
Dirk Bouts,kunstschilder,beeldend kunstenaar,mannelijk,1414-12-23T01:00:00Z,vijftiendeeeuw,Koninkrijk der Nederlanden,Haarlem,Dirk Bouts.png,8,https://en.wikipedia.org/wiki/Dieric_Bouts
Dirk Martens,bewerker,beeldend kunstenaar,mannelijk,1445-12-23T01:00:00Z,vijftiendeeeuw,Aalst,Dirk Martens.png,Cyriel Verschaeve.png,5,https://en.wikipedia.org/wiki/Dirk_Martens
Giovanni Bosco,schrijver,schrijver,mannelijk,1815-08-16T01:00:00Z,negentiendeeeuw,Koninkrijk Itali�,Castelnuovo Don Bosco,Giovanni Bosco.png,11,https://en.wikipedia.org/wiki/John_Bosco
Edgar Tinel,componist,muziek,mannelijk,1854-03-27T01:00:00Z,negentiendeeeuw,Belgi�,Sint-Niklaas,Edgar Tinel.png,25,https://en.wikipedia.org/wiki/Edgar_Tinel
Edith Cavell,verpleegkundige,verpleegkundige,vrouwelijk,1865-12-04T01:00:00Z,negentiendeeeuw,Verenigd Koninkrijk,Swardeston,Edith Cavell.png,4,https://en.wikipedia.org/wiki/Edith_Cavell
Emile Claus,kunstschilder,beeldend kunstenaar,mannelijk,1849-09-27T01:00:00Z,negentiendeeeuw,Belgi�,Sint-Eloois-Vijve,Emile Claus.png,9,https://en.wikipedia.org/wiki/Emile_Claus
Emiel Hullebroeck,politicus,politicus,mannelijk,1878-02-20T01:00:00Z,negentiendeeeuw,Belgi�,,Emiel Hullebroeck.png,12,https://nl.wikipedia.org/wiki/Emiel_Hullebroeck
Emile Vandervelde,politicus,politicus,mannelijk,1866-01-25T01:00:00Z,negentiendeeeuw,Belgi�,Elsene,Emile Vandervelde.png,11,https://nl.wikipedia.org/wiki/Emile_Vandervelde
Emile Verhaeren,schrijver,schrijver,mannelijk,1855-05-21T01:00:00Z,negentiendeeeuw,Belgi�,Sint-Amands,Emile Verhaeren.png,8,https://nl.wikipedia.org/wiki/Emile_Verhaeren
Emmanuel Hiel,dichter,schrijver,mannelijk,1834-05-30T01:00:00Z,negentiendeeeuw,Belgi�,Dendermonde,Emmanuel Hiel.png,5,https://nl.wikipedia.org/wiki/Emmanuel_Hiel
Ernest Claes,schrijver,schrijver,mannelijk,1885-10-24T01:00:00Z,negentiendeeeuw,Belgi�,Scherpenheuvel-Zichem,Ernest Claes.png,45,https://nl.wikipedia.org/wiki/Ernest_Claes
Felix Timmermans,toneelschrijver,schrijver,mannelijk,1886-07-05T01:00:00Z,negentiendeeeuw,Belgi�,Lier,Felix Timmermans.png,37,https://nl.wikipedia.org/wiki/Felix_Timmermans
Ferdinand Verbiest,astronoom,wetenschapper,mannelijk,1623-10-09T01:00:00Z,zeventiendeeeuw,Ming-dynastie,Pittem,Ferdinand Verbiest.png,5,https://nl.wikipedia.org/wiki/Ferdinand_Verbiest
Filip De Pillecyn,schrijver,schrijver,mannelijk,1891-03-25T01:00:00Z,negentiendeeeuw,Belgi�,Hamme,Filip De Pillecyn.png,7,https://nl.wikipedia.org/wiki/Filip_De_Pillecyn
Franklin Delano Roosevelt,politicus,politicus,mannelijk,1882-01-30T01:00:00Z,negentiendeeeuw,Verenigde Staten van Amerika,Hyde Park,Franklin Delano Roosevelt.png,8,https://nl.wikipedia.org/wiki/Franklin_Delano_Roosevelt
Frans Hals,kunstschilder,beeldend kunstenaar,mannelijk,1581-12-22T01:00:00Z,zestiendeeeuw,Koninkrijk der Nederlanden,Antwerpen,Frans Hals.png,8,https://nl.wikipedia.org/wiki/Frans_Hals
Gabrielle Petit,spion,spion,vrouwelijk,1893-02-20T01:00:00Z,negentiendeeeuw,Belgi�,Doornik,Gabrielle Petit.png,3,https://nl.wikipedia.org/wiki/Gabrielle_Petit
Jan van Eyck,kunstschilder,beeldend kunstenaar,mannelijk,1389-12-24T01:00:00Z,veertiendeeeuw,Zuidelijke Nederlanden,Vlaanderen,Jan van Eyck.png,31,https://nl.wikipedia.org/wiki/Jan_van_Eyck
Gerard Leman,officier,militair,mannelijk,1851-01-08T01:00:00Z,negentiendeeeuw,Belgi�,Luik,Gerard Leman.png,12,https://nl.wikipedia.org/wiki/G%C3%A9rard_Leman
Gerardus Mercator,wiskundige,wetenschapper,mannelijk,1512-02-24T01:00:00Z,zestiendeeeuw,Belgi�,Rupelmonde,Gerardus Mercator.png,9,https://nl.wikipedia.org/wiki/Gerard_Mercator
Gerard Walschap,schrijver,schrijver,mannelijk,1898-07-09T01:00:00Z,negentiendeeeuw,Belgi�,Londerzeel,Gerard Walschap.png,7,https://nl.wikipedia.org/wiki/Gerard_Walschap
Filips van Montmorency,staatsman,politicus,manneljk,1524-05-30T00:00:00Z,zestiendeeeuw,Belgi�,Deinze,Filips van Montmorency.png,6,https://nl.wikipedia.org/wiki/Filips_van_Montmorency
Gravin Johanna,adel,adel,vrouwelijk,1197-05-30T00:00:00Z,twaalfdeeeuw,Frankrijk,Marquette,Gravin Johanna.png,3,"https://en.wikipedia.org/wiki/Joan,_Countess_of_Flanders"
Guido Gezelle,schrijver,schrijver,mannelijk,1830-05-01T00:00:00Z,negentiendeeeuw,Belgi�,Brugge,Guido Gezelle.png,128,https://en.wikipedia.org/wiki/Guido_Gezelle
Hans Memling,kunstschilder,beeldend kunstenaar,mannelijk,1435-05-30T00:00:00Z,vijftiendeeeuw,Duitsland,Seligenstadt,Hans Memling.png,14,https://en.wikipedia.org/wiki/Hans_Memling
Hendrik Conscience,schrijver,schrijver,mannelijk,1812-12-03T00:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,Hendrik Conscience.png,72,https://en.wikipedia.org/wiki/Hendrik_Conscience
Henri Dunant,zakenman,zakenman,mannelijk,1828-05-08T00:00:00Z,negentiendeeeuw,Zwitserland,Gen�ve,Henri Dunant.png,16,https://en.wikipedia.org/wiki/Henry_Dunant
Herman Teirlinck,toneelschrijver,schrijver,mannelijk,1879-02-24T01:00:00Z,negentiendeeeuw,Belgi�,Sint-Jans-Molenbeek,Herman Teirlinck.png,12,https://en.wikipedia.org/wiki/Herman_Teirlinck
Hugo van der Goes,kunstschilder,beeldend kunstenaar,mannelijk,1439-12-23T01:00:00Z,vijftiendeeeuw,Zuidelijke Nederlanden,Gent,Hugo van der Goes.png,7,https://en.wikipedia.org/wiki/Hugo_van_der_Goes
Hugo Verriest,dichter,schrijver,mannelijk,1840-11-25T01:00:00Z,negentiendeeeuw,Belgi�,Deerlijk,Hugo Verriest.png,46,https://nl.wikipedia.org/wiki/Hugo_Verriest
Jacob Jordaens,kunstschilder,beeldend kunstenaar,mannelijk,1593-05-19T01:00:00Z,zestiendeeeuw,Zuidelijke Nederlanden,Antwerpen,Jacob Jordaens.png,15,https://nl.wikipedia.org/wiki/Jacob_Jordaens
Jakob Smits,kunstschilder,beeldend kunstenaar,mannelijk,1855-07-09T01:00:00Z,negentiendeeeuw,Belgi�,Rotterdam,Jakob Smits.png,6,https://nl.wikipedia.org/wiki/Jakob_Smits
Jacob van Artevelde,politicus,politicus,mannelijk,1289-12-25T01:00:00Z,dertiendeeeuw,Belgi�,Gent,Jacob van Artevelde.png,18,https://nl.wikipedia.org/wiki/Jacob_van_Artevelde
Jacob van Maerlant,dichter,schrijver,mannelijk,1234-12-25T01:00:00Z,dertiendeeeuw,Graafschap Vlaanderen,Jacob van Maerlant.png,Joseph Wauters.png,17,https://nl.wikipedia.org/wiki/Jacob_van_Maerlant
James Ensor,kunstschilder,beeldend kunstenaar,mannelijk,1860-04-13T01:00:00Z,negentiendeeeuw,Belgi�,Oostende,James Ensor.png,12,https://nl.wikipedia.org/wiki/James_Ensor
Jan Blockx,componist,muziek,mannelijk,1851-01-25T01:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,Jan Blockx.png,6,https://nl.wikipedia.org/wiki/Jan_Blockx
Jan Breydel,politicus,politicus,mannelijk,1299-12-25T01:00:00Z,dertiendeeeuw,Brugge,Jan Breydel.png,Joseph Wauters.png,18,https://nl.wikipedia.org/wiki/Jan_Breydel
Jean-Baptist David,kanunnik,religieus,mannelijk,1801-01-25T01:00:00Z,negentiendeeeuw,Belgi�,Lier,Jean-Baptist David.png,14,https://en.wikipedia.org/wiki/Jean-Baptist_David
Jan Hammenecker,schrijver,schrijver,mannelijk,1878-10-02T01:00:00Z,negentiendeeeuw,Belgi�,,Jan Hammenecker.png,7,https://en.wikipedia.org/wiki/Jan_Hammenecker
Jan Palfijn,anatoom,wetenschapper,mannelijk,1650-11-28T01:00:00Z,zeventiendeeeuw,Belgi�,Kortrijk,Jan Palfijn.png,7,https://en.wikipedia.org/wiki/Jan_Palfijn
Jan van Ruusbroec,priester,religieus,mannelijk,1292-12-25T01:00:00Z,dertiendeeeuw,Ruisbroek,Jan van Ruusbroec.png,Joseph Wauters.png,11,https://en.wikipedia.org/wiki/John_of_Ruusbroec
Jan Frans Willems,schrijver,schrijver,mannelijk,1793-03-11T01:00:00Z,achttiendeeeuw,Belgi�,Boechout,Jan Frans Willems.png,26,https://en.wikipedia.org/wiki/Jan_Frans_Willems
Jean Jaures,politicus,politicus,mannelijk,1859-09-03T01:00:00Z,negentiendeeeuw,Frankrijk,Castres,Jean Jaures.png,5,https://en.wikipedia.org/wiki/Jean_Jaur%C3%A8s
Jef van Hoof,componist,muziek,mannelijk,1886-05-08T01:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,Jef van Hoof.png,8,https://en.wikipedia.org/wiki/Jef_van_Hoof
Joe English,kunstschilder,beeldend kunstenaar,mannelijk,1882-08-05T01:00:00Z,negentiendeeeuw,Belgi�,Brugge,Joe English.png,6,https://en.wikipedia.org/wiki/Joe_English
John F. Kennedy,politicus,politicus,mannelijk,1917-05-29T01:00:00Z,twintigsteeeuw,Verenigde Staten van Amerika,Brookline,John F. Kennedy.png,20,https://en.wikipedia.org/wiki/John_F._Kennedy
Joseph Wauters,politicus,politicus,mannelijk,1875-11-08T01:00:00Z,negentiendeeeuw,Belgi�,Berloz,Joseph Wauters.png,5,https://en.wikipedia.org/wiki/Joseph_Wauters
Jozef Wauters,politicus,politicus,mannelijk,1855-01-18T01:00:00Z,negentiendeeeuw,Belgi�,Temse,Jozef Wauters.png,6,https://nl.wikipedia.org/wiki/Joseph_Wauters_(politicus)
Justus Lipsius,grammaticus,wetenschapper,mannelijk,1547-10-08T01:00:00Z,zestiendeeeuw,Nederland,Overijse,Justus Lipsius.png,7,https://nl.wikipedia.org/wiki/Justus_Lipsius
Joseph Cardijn,katholiek priester,religieus,mannelijk,1882-11-18T01:00:00Z,negentiendeeeuw,Belgi�,Schaarbeek,Joseph Cardijn.png,56,https://en.wikipedia.org/wiki/Joseph_Cardijn
